school_name,url,host,final_status,classification_reason,evidence_url,evidence_text,geography_note,flag
Aspire Charter Academy,https://aspirecharteracademy.com/,aspirecharteracademy.com,YES,"K-5 public charter elementary school in Orlando FL. Multiple pages confirm ""Serving Grades K-5"", designated Model Orange County Charter Elementary School.",https://aspirecharteracademy.com/special-magistrate-process/,"TUITION FREE PUBLIC SCHOOL Serving Grades K - 5. 928 Malone Dr. Orlando, FL 32810. Model Orange County Charter Elementary School.","Orlando, FL 32810 — Orange County",
Central Florida Preparatory School,https://cfprep.org/,cfprep.org,YES,"PreK-12 private school in Apopka (Orange County FL). Grade selector explicitly lists Early Childhood (PK4-1st), Elementary (2nd-5th), Middle (6th-8th). Elementary page confirmed.",https://cfprep.org/academics/elementary,"Private Elementary School Orlando | Central Florida Prep Grades 1-5. Building Strong Foundations for Lifelong Success. Campus located on Marden Road in Apopka, FL.","Apopka, FL — Orange County",
Family Christian Academy,https://www.fcaorlando.com/,fcaorlando.com,YES,"K-12 private Christian school in East Orlando (15060 Old Cheney Hwy, FL 32828). Enrollment page confirms ""Enrolling K-12th Now"".",https://www.fcaorlando.com/academics,"Enrolling K-12th Now! Family Christian Academy. 15060 Old Cheney Hwy, Orlando, FL 32828. Phone: 407-568-9837.","Orlando, FL 32828 — Orange County (East Orlando)",
Foundation Academy,https://www.foundationacademy.net/,foundationacademy.net,YES,PK-12 private Christian school in Winter Garden (Orange County FL). Dedicated elementary school campus (Plant Street). Explicit elementary school page confirmed.,https://www.foundationacademy.net/academics/elementary-school/,Foundation Academy Elementary School — a leading Private Christian School in Winter Garden. Pre-K–12 Academics | Christian Private School in Orange County.,"Winter Garden, FL — Orange County",
Heritage Prep School,https://heritageprep.com/,heritageprep.com,YES,"K-12 Independent Baptist private school in West Orlando (Pine Hills, Ocoee, Orlo Vista area — all Orange County). K-12 includes elementary.",https://heritageprep.com/,Independent Baptist School | K-12 West Orlando | Private School Pine Hills | Ocoee Orlo Vista. Welcome to Heritage Preparatory School.,Pine Hills / Ocoee / Orlo Vista — Orange County FL,
Jewish Academy of Orlando,https://www.jewishacademyorlando.org/,jewishacademyorlando.org,YES,"Explicitly an elementary school in Central Florida. Title: ""The Premier Elementary School Education in Central Florida.""",https://www.jewishacademyorlando.org/,Gotlib Jewish Academy. The Premier Elementary School Education in Central Florida. Develops strong leaders and critical thinkers.,Orlando area — Central Florida,
American Heritage Schools,https://www.ahschool.com/,ahschool.com,NO,"Out of area. All campuses listed are in South Florida: Tampa, Fort Myers, West Palm Beach, Fort Lauderdale, Miami, Delray Beach. No Orange County / Orlando campus.",https://www.ahschool.com/,2025 Top College Acceptances. Early College Acceptances Tampa Fort Myers West Palm Beach Fort Lauderdale Miami Delray Beach.,South Florida only — no OC/Orlando campus,out_of_area
Central Florida Leadership Academy,https://www.cflacademy.org/,cflacademy.org,NO,"Grades 6-12 only. Homepage states ""COLLEGE PREP CHARTER SCHOOL FOR STUDENTS IN GRADES 6-12."" Multiple pages confirm middle/high school only.",https://www.cflacademy.org/,CENTRAL FLORIDA LEADERSHIP ACADEMY (CFLA) IS A COLLEGE PREP CHARTER SCHOOL FOR STUDENTS IN GRADES 6-12. More than 95% of CFLA graduates are accepted to college.,"Orlando, FL — OC area but wrong grade range",not_elementary
Center Academy,https://centeracademy.com/,centeracademy.com,NO,"Special education school for autism/ADHD/learning disabilities. Nearest OC campuses (Hunters Creek, Waterford Lakes) serve grades 4th-12th and 5th-12th only. No kindergarten or lower elementary.",https://centeracademy.com/locations/hunters-creek-fl/,"Center Academy in Hunters Creek, Orlando, FL. Grade Levels: 4th-12th. Center Academy in Lutz North Tampa, Grade Levels: 5th-12th.",Multi-campus FL chain — OC campuses exist but serve 4-12 only,not_elementary
Keystone Academy,http://www.keystone-academy.com/,keystone-academy.com,NO,Homeschool co-op providing weekly academic classes to homeschooled students K-12. Not a traditional school. Does not enroll students as a primary school.,http://www.keystone-academy.com/,"Keystone Academy is an organization that provides homeschooled students from kindergarten through twelfth grade with weekly academic classes, carefully constructed to supplement and enrich their homeschool curriculum.",Unknown — likely FL but irrelevant given school type,homeschool_or_nontraditional
Cornerstone Charter Academy,https://www.cornerstonecharter.com/,cornerstonecharter.com,NO,"Evidence points to middle/high school only: Bright Futures scholarship program (HS-only), varsity athletics, college-prep mission. No elementary grade signal across 9 crawled pages.",https://www.cornerstonecharter.com/guidance/,"Bright Futures Scholarship — qualifying weighted GPA based on 16 core credits. Varsity Tennis, Varsity Girls Basketball. College-prep mission. No elementary grades mentioned on any page.",Orange County FL — wrong grade range,not_elementary
Audubon Park School,https://audubonparkk8.ocps.net/,audubonparkk8.ocps.net,NOT_SURE,"No crawl data returned. Domain name ""audubonparkk8.ocps.net"" strongly suggests OCPS K-8 school. Needs re-crawl to confirm grades and address.",https://audubonparkk8.ocps.net/,No crawl data returned.,"Orlando area — OCPS school, likely OC",weak_grade_signal
Bridge Prep Academy Orange Campus,https://www.bridgepreporange.com/,bridgepreporange.com,NOT_SURE,"Single crawled page returned only summer program announcement. ""Orange Campus"" confirms Orange County FL location. Grade range not confirmed. BridgePrep is a known K-8 charter chain but evidence is insufficient from this crawl.",https://www.bridgepreporange.com/,"Bridge Prep Academy Orange Campus. News and Announcements: Summer with TRACK Center. Safe, fun, and enriching place for children during school break.",Orange County FL — campus confirmed but grades not confirmed in crawl,weak_grade_signal
Bridgeprep Academy Charter Schools,https://www.bridgeprepacademy.com/,bridgeprepacademy.com,NOT_SURE,"Single page crawled. Multi-campus charter school — grade range and specific OC campus not confirmed from crawl text. ""Charter Schools"" in name suggests public charter.",https://www.bridgeprepacademy.com/,"Bridgeprep Academy Charter Schools. BridgePrep is a challenging, rigorous, and safe environment where students can have fun while learning essential skills.",Multi-campus FL — OC presence unconfirmed from crawl,weak_grade_signal
