source_query,position,result_type,title,description,displayed_url,url,host,confidence_reason,manual_review_reason
Orlando FL academy elementary school,1,organic,Top Private Elementary School in Orlando,Experience The First Academy's elementary school in-person or virtually! See Why We're Central Florida's #1 Private Christian SchoolRead more,https://thefirstacademy.org › Academics › Lower School,https://thefirstacademy.org/academics/lower/elementary/,thefirstacademy.org,school_keyword_in_domain:academy,
Orlando FL academy elementary school,2,organic,Orlando Gifted Academy - Home,"I am extremely proud of the dedication and effort of our Staffulty, families, and, most importantly, our students in making OGA an amazing place to learn.Read more",https://orlandogiftedacademy.ocps.net,https://orlandogiftedacademy.ocps.net/,orlandogiftedacademy.ocps.net,official_ocps_school_subdomain,
Orlando FL academy elementary school,3,organic,"Pluris Academy | Orlando, FL Private K-12 School","Pluris Academy is a K-12 private school in Orlando, FL that offers a comprehensive curriculum that fosters critical thinking, problem-solving, ...",https://plurisacademy.com,https://plurisacademy.com/,plurisacademy.com,school_keyword_in_domain:academy,
Orlando FL academy elementary school,4,organic,Pinecrest Preparatory Academy Orlando Campus,"Pinecrest Preparatory Academy is an accredited K-8 Tuition-Free High Performing Public Charter School in Orlando, FL. We empower lifelong learners!",https://www.pinecrestorlando.org,https://www.pinecrestorlando.org/,pinecrestorlando.org,"title_school+fl_signal:""charter school"" + ""orlando""",
Orlando FL academy elementary school,5,organic,"The First Academy: Top PK-12 Private School in Orlando, FL","Discover a premier private Christian school in Orlando, FL, serving families since 1987, top-rated with 100% college acceptance rate for graduates.",https://thefirstacademy.org,https://thefirstacademy.org/,thefirstacademy.org,school_keyword_in_domain:academy,
Orlando FL academy elementary school,6,organic,"The Crenshaw Academy | Private K-12 Orlando, FL","The Crenshaw Academy is an accredited Kindergarten through 12 college preparatory school where bright, curious young boys and girls aim for a bar set high in ...Read more",https://thecrenshawacademy.com,https://thecrenshawacademy.com/,thecrenshawacademy.com,school_keyword_in_domain:academy,
Orlando FL academy elementary school,7,organic,Homepage - Aspire Charter AcademyAspire Charter Academy,Tuition Free Public Charter School. Call Today to Register for school! 407-297-9955 · Learn with us. Aspire Charter Academy is considered a Model Orange County ...Read more,https://aspirecharteracademy.com,https://aspirecharteracademy.com/,aspirecharteracademy.com,school_keyword_in_domain:academy,
Orlando FL academy elementary school,8,organic,"Elementary School in Orlando, FL","Explore exceptional K-5 education at First Phase Core Academy, an elementary school in Orlando with small classes and a diverse curriculum.",https://coreflacademy.org › elementary-school-in-orlando,https://coreflacademy.org/elementary-school-in-orlando/,coreflacademy.org,school_keyword_in_domain:academy,
Orlando FL academy elementary school,9,organic,Orlando Science Elementary School - Seminole ...,"Seminole Science Charter School, K-8 tuition free public charter school. STEM. Science, technology, math, engineering.",https://orlandoscience.org › elementary,https://orlandoscience.org/elementary/,orlandoscience.org,"title_school+fl_signal:""charter school"" + ""orlando""",
Orlando FL academy elementary school,10,organic,"Center Academy Waterford Lakes, Florida - East Orlando","1331 South Alafaya Trail, Orlando, FL 32828 Phone: 407-270-4444 Fax: 407-286-0548 infoWL@centeracademy.com Enrolling for the Current School YearRead more",https://centeracademy.com › locations › waterford-lakes...,https://centeracademy.com/locations/waterford-lakes-florida-east-orlando/,centeracademy.com,school_keyword_in_domain:academy,
Orange County FL private school elementary,4,organic,"Best Private Elementary School Orange County, FL","Crenshaw Academy, The Best Private Elementary School In Orange County, Florida. Crenshaw Academy is an accredited kindergarten through 12 college preparatory ...Read more",https://thecrenshawacademy.com › best-private-elementa...,https://thecrenshawacademy.com/best-private-elementary-school-orange-county-fl,thecrenshawacademy.com,school_keyword_in_domain:academy,
Orange County FL private school elementary,9,organic,Foundation Academy | Top Christian Private School in Winter ...,"As a leading private christian school in Winter Garden, Foundation Academy is rooted in Christian principles, and helps students from Pre-K to 12th grade ...",https://www.foundationacademy.net,https://www.foundationacademy.net/,foundationacademy.net,school_keyword_in_domain:academy,
Orange County FL christian school elementary,3,organic,"Orlando Christian Prep - Orlando, FL",Orlando Christian Prep offers a college-preparatory curriculum. This includes variety of honors courses and Advanced Placement (AP) cours.Read more,https://www.orlandochristianprep.org,https://www.orlandochristianprep.org/,orlandochristianprep.org,school_keyword_in_domain:prep,
Orange County FL christian school elementary,4,organic,Orlando's Only K4–12 Christian Classical School,"A school that wants to know your child, teach them how to think and discover the world using a biblical worldview and time-tested classical tools for learning.Read more",https://www.genevaschool.org,https://www.genevaschool.org/,genevaschool.org,school_keyword_in_domain:school,
Orange County FL christian school elementary,7,organic,Central Florida Christian Academy: Homepage,"An accredited, PreK-12th grade private Christian school in Orlando, Florida that exists to educate, inspire, and equip students for life.",https://cfcaeagles.org,https://cfcaeagles.org/,cfcaeagles.org,"title_school+fl_signal:""christian school"" + ""orlando""",
Orange County FL christian school elementary,9,organic,Cornerstone Charter Academy,"Cornerstone Charter Academy is a K-12 Accredited Tuition-Free Public Charter School in Belle Isle, FL. Learn more about our STEM programming. Apply now!",https://www.cornerstonecharter.com,https://www.cornerstonecharter.com/,cornerstonecharter.com,school_keyword_in_domain:charter,
Orange County FL charter school elementary,5,organic,Orlando Science Schools: OSS Main Campus,"Orlando Science School is a STEM-focused, tuition-free, public charter school serving grades K-12. Orlando Science School was named the best public high school ...Read more",https://orlandoscience.org,https://orlandoscience.org/,orlandoscience.org,"title_school+fl_signal:""charter school"" + ""orlando""",
Orange County FL charter school elementary,7,organic,West Orange,UCP Bailes Community Academy Charter School is our new Kindergarten through 8th grade Charter School. Our Bailes Community Academy utilizes technology ...,https://www.ucpcharter.org › westorange,https://www.ucpcharter.org/westorange,ucpcharter.org,school_keyword_in_domain:charter,
Orange County FL lower school,2,organic,Orlando Lower School,At Lake Highland Preparatory School we offer a premier education for Pre-K through 6th-grade students. Our lower school programs offer a wide selection of ...,https://www.lhprep.org › academics › lower-school,https://www.lhprep.org/academics/lower-school,lhprep.org,school_keyword_in_domain:prep,
Orange County FL lower school,5,organic,LOWER SCHOOL - Keystone Academy,"Beginning in the lower school, students establish strong foundations in the mechanics of reading, writing, grammar, composition, and math.Read more",http://www.keystone-academy.com › lower-school,http://www.keystone-academy.com/lower-school,keystone-academy.com,school_keyword_in_domain:academy,
Orange County FL lower school,7,organic,Orangewood Christian School: Home,Orangewood Christian School lovingly serves students in grades K4-12. Orangewood nurtures a relational learning environment that cares for the whole student.Read more,https://www.orangewoodchristian.org,https://www.orangewoodchristian.org/,orangewoodchristian.org,school_keyword_in_domain:christian,
Orange County FL lower school,10,organic,"Windermere Preparatory School | Private School in Florida, ...","As the #1 Best Private K-12 and High School in Orange County per the 2026 Niche Best Schools Rankings, Windermere Prep School is a truly unique place to learn.Read more",https://www.nordangliaeducation.com › wps-florida,https://www.nordangliaeducation.com/wps-florida,nordangliaeducation.com,school_keyword_in_domain:educati,
Orange County FL montessori elementary,1,organic,"Innovation Montessori Ocoee | Montessori School | Ocoee, FL",Innovation Montessori Ocoee - Kindergarten-12th Grade Leading Public Montessori Charter School in Ocoee Florida. Offering VPK and 3 year old preschool with ...,https://www.innovationmontessori.com,https://www.innovationmontessori.com/,innovationmontessori.com,school_keyword_in_domain:montessori,
Orange County FL montessori elementary,2,organic,"Orlando Montessori Bilingual Academy | Orlando, FL","Education for Life. A Montessori school for children ages 3 to 12 years ... 61 S Dean Rd, Orlando, FL 32825, United States of America. (407) 482-2370.Read more",https://www.orlandomontessori.com,https://www.orlandomontessori.com/,orlandomontessori.com,school_keyword_in_domain:montessori,
Orange County FL montessori elementary,4,organic,Montessori School of Orlando,,https://montessorischooloforlando.com,https://montessorischooloforlando.com/,montessorischooloforlando.com,school_keyword_in_domain:school,
Orange County FL montessori elementary,5,organic,Montessori Way School: Home,"Montessori Way School is an independent private Montessori school in Orlando, Florida, offering a Montessori curriculum for preschool through sixth grade ...",https://montessoriwayschool.com,https://montessoriwayschool.com/,montessoriwayschool.com,school_keyword_in_domain:school,
Orange County FL montessori elementary,6,organic,Private School | Montessori School of East Orlando | United ...,The Montessori School of East Orlando is dedicated to providing an environment in which each child is free to develop to his/her potential.,https://www.mseastorlando.com,https://www.mseastorlando.com/,mseastorlando.com,"title_school+fl_signal:""private school"" + ""orlando""",
Orange County FL montessori elementary,7,organic,Montessori World School - Preschool & Child Care Center ...,"40 years of authentic Montessori education encouraging the natural joy of learning from pre-primary to 6th grade private school serving Orlando, FL.Read more",https://montessoriworldschool.com,https://montessoriworldschool.com/,montessoriworldschool.com,school_keyword_in_domain:school,
Orange County FL montessori elementary,9,organic,Nona Park Montessori School,"At Nona Park Montessori School, we are committed to using authentic Montessori practices to inspire joyful learning, growth, and development.Read more",https://nonaparkmontessorischool.com,https://nonaparkmontessorischool.com/,nonaparkmontessorischool.com,school_keyword_in_domain:school,
Orange County FL preparatory school elementary,2,organic,Central Florida Preparatory School | Private PreK-12 Orlando,"Pre-K through 12th grade. An average SAT of 1280, 100% college matriculation, and a curriculum designed around the way each child actually learns.Read more",https://cfprep.org,https://cfprep.org/,cfprep.org,school_keyword_in_domain:prep,
Orange County FL preparatory school elementary,7,organic,Bridge Prep Academy Orange Campus,"Come and see all BridgePrep Academy of Orange Campus has to offer. Enrollment is open for students in grades K-8. Our school is small, safe, quaint and has a ...Read more",https://www.bridgepreporange.com,https://www.bridgepreporange.com/,bridgepreporange.com,school_keyword_in_domain:prep,
Orange County FL preparatory school elementary,8,organic,Top Rated Private School | Lake Highland Prep,"Lake Highland Prep is Orlando's top-rated private school, providing Pre-K-12 students with a remarkable education and exceptional leadership opportunities.",https://www.lhprep.org,https://www.lhprep.org/,lhprep.org,school_keyword_in_domain:prep,
Orange County FL christian school elementary,10,organic,Eastland Christian School,Eastland Christian School is a K4-12th grade college-preparatory school. God's Word is the foundation for ECS curriculum.Read more,https://www.eastlandchristian.org,https://www.eastlandchristian.org/,eastlandchristian.org,school_keyword_in_domain:christian,
Orange County FL christian school elementary,11,organic,One School | Central Florida Private School | Future Focused,Are you looking for a private school in Central Florida where your child's mind and heart will be fully engaged? Private Christian school reimagined.,https://www.oneschool.net,https://www.oneschool.net/,oneschool.net,school_keyword_in_domain:school,
Orange County FL christian school elementary,12,organic,Family Christian Academy: www.fcaorlando.com Private ...,To train up disciples for Christ by incorporating Biblical values into educational standards and instilling an attitude of excellence.Read more,https://www.fcaorlando.com,https://www.fcaorlando.com/,fcaorlando.com,"title_school+fl_signal:""academy"" + ""orlando""",
Orange County FL christian school elementary,13,organic,Faith Christian Academy | Orlando – A Ministry of Faith ...,We place a strong emphasis on providing a well-rounded education for our students while prioritizing the integration of a biblical worldview into all aspects of ...Read more,https://fcalions.org,https://fcalions.org/,fcalions.org,"title_school+fl_signal:""academy"" + ""orlando""",
Orange County FL christian school elementary,14,organic,Welcome to Winter Garden Christian Academy | Private ...,Discover Winter Garden Christian Academy - opening Fall 2024. Prepare your child for a transformative education in a private Christian school in Winter ...,https://www.wgcacademy.org,https://www.wgcacademy.org/,wgcacademy.org,school_keyword_in_domain:academy,
Orange County FL christian school elementary,17,organic,The Master's Academy: Home,"Grades 9 - 12. Developing confident, capable, and Christ-centered leaders ready for college and life. 6 high school male students in a semicircle.Read more",https://www.mastersacademy.org,https://www.mastersacademy.org/,mastersacademy.org,school_keyword_in_domain:academy,
Orange County FL christian school elementary,18,organic,Heritage Prep School,We are an accredited Christian school with a small average class size of only 15 students and 90 percent of Heritage graduates continue into higher learning.Read more,https://heritageprep.com,https://heritageprep.com/,heritageprep.com,school_keyword_in_domain:prep,
Orange County FL private school elementary,19,organic,Best Private School In Orlando | Orlando Preparatory School,"As the No.1-ranked private school and STEM school in the Orlando area, Trinity Prep offers unmatched educational and extracurricular opportunities for its ...",https://www.trinityprep.org,https://www.trinityprep.org/,trinityprep.org,school_keyword_in_domain:prep,
Orlando FL academy elementary school,11,organic,UCP CHARTER SCHOOLS | Charter School in Orlando | 4780 ...,"We are a network of nine inclusive, tuition-free charter schools across Orange, Osceola, and Seminole Counties, along with our fully online K–5 school.Read more",https://www.ucpcharter.org,https://www.ucpcharter.org/,ucpcharter.org,school_keyword_in_domain:charter,
Orlando FL academy elementary school,14,organic,Elementary School,"8464 Winter Garden Vineland Rd, Orlando, FL 32836, USA. Main Office: 407-614-1780. Tilden Campus. Directions. 15304 Tilden Rd, Winter Garden, FL 34787-5317, USA ...Read more",https://www.foundationacademy.net › academics › elem...,https://www.foundationacademy.net/academics/elementary-school/,foundationacademy.net,school_keyword_in_domain:academy,
Orlando FL academy elementary school,17,organic,"Living Word Academy – Orlando, FL","Living Word Academy is a private Christian school serving Toddler, Preschool, VPK, Middle School and High School students, located in Orlando, FL. LEARN ...Read more",https://lwaorlando.com,https://lwaorlando.com/,lwaorlando.com,"title_school+fl_signal:""christian school"" + ""orlando""",
Orlando FL academy elementary school,18,organic,Jewish Academy of Orlando,Gotlib Jewish Academy is Orlando's premier Jewish community day school. Gotlib Jewish Academy is accredited by the Florida Council of Independent Schools.,https://www.jewishacademyorlando.org,https://www.jewishacademyorlando.org/,jewishacademyorlando.org,school_keyword_in_domain:academy,
Orlando FL academy elementary school,19,organic,The Conrad Academy & Preschool,"We provide a nurturing and educational environment for infants, toddlers, and VPK aged children. Our trained staff is dedicated to teaching your little ones.Read more",https://www.conradacademy.org,https://www.conradacademy.org/,conradacademy.org,school_keyword_in_domain:academy,
Orange County FL lower school,13,organic,The Walden Community School Orlando | Discover Creative ...,"Explore Walden Community School Orlando, offering small classes, diverse learning programs, and a focus on creativity and critical thinking for K-12 ...",https://www.thewaldenschoolorlando.com,https://www.thewaldenschoolorlando.com/,thewaldenschoolorlando.com,school_keyword_in_domain:school,
Orange County FL K-8 school,5,organic,Windy Ridge K-8 - Home - Orange County Public Schools,"Students at Windy Ridge K-8 receive a comprehensive educational experience centered around four pillars of excellence; STEM, Arts, Language and Leadership.Read more",https://windyridgek8.ocps.net,https://windyridgek8.ocps.net/,windyridgek8.ocps.net,official_ocps_school_subdomain,
Orange County FL K-8 school,7,organic,Pinecrest Creek Academy,Pinecrest Creek is a K-5 Accredited Tuition-Free Public Charter School. We offer all students an interactive and supportive learning environment. Apply now!,https://www.pinecrestcreekacademy.org,https://www.pinecrestcreekacademy.org/,pinecrestcreekacademy.org,school_keyword_in_domain:academy,
Orange County FL montessori elementary,11,organic,Home - Turtleriver Montessori,"Turtle River Montessori at 740 W Indiantown Road in Jupiter, Florida, offers authentic Montessori programs for children starting at 18 months and up to ...Read more",https://turtlerivermontessori.com,https://turtlerivermontessori.com/,turtlerivermontessori.com,school_keyword_in_domain:montessori,
Orange County FL montessori elementary,12,organic,Maitland Montessori: Montessori School Website,Programs at our Montessori schools are defined by the practical application of sensory-based and self-directed learning through the authentic Montessori Method.Read more,https://maitlandmontessori.org,https://maitlandmontessori.org/,maitlandmontessori.org,school_keyword_in_domain:montessori,
Orange County FL montessori elementary,13,organic,One of the Best Montessori Schools in Orange County ...,"Hillside Montessori School is located in Trabuco Canyon: For infants, toddlers, preschoolers, and kindergarteners, we provide Montessori programs.",https://www.hillsidemontessori.org,https://www.hillsidemontessori.org/,hillsidemontessori.org,school_keyword_in_domain:montessori,
Orange County FL montessori elementary,17,organic,International Montessori Academy Schools: USA,"International Montessori Academies are committed to providing a high quality loving and safe environment, where children learn through doing.",https://www.intmontessori.com,https://www.intmontessori.com/,intmontessori.com,school_keyword_in_domain:montessori,
Orange County FL montessori elementary,18,organic,The Montessori Academy of Celebration | Discover Montessori ...,"Explore Montessori Academy of Celebration, a nurturing Montessori school for children ages 2.5 to 17, fostering independence, curiosity, and lifelong love ...",https://www.montessoriacademycelebration.com,https://www.montessoriacademycelebration.com/,montessoriacademycelebration.com,school_keyword_in_domain:academy,
