source_query,position,result_type,title,description,displayed_url,url,host,confidence_reason,manual_review_reason
Orange County FL private school elementary,3,organic,Orange County Public Schools - Private Schools,"Orange Center Elementary · Orlo Vista Elementary · Palm Lake Elementary · Palmetto ... The School Board of Orange County, Florida, does not discriminate in ...Read more",https://www.ocps.net › private-schools,https://www.ocps.net/private-schools,ocps.net,,needs_location_or_type_verification:ocps.net
Orange County FL private school elementary,5,organic,Private Schools in Orange County,"Premier listings for all of Orange County. Featuring a listing by city of featured Orange County Preschools, Private Schools & Higher Education.Read more",https://www.orangecounty.net › html › edu_private2,https://www.orangecounty.net/html/edu_private2.html,orangecounty.net,,needs_location_or_type_verification:orangecounty.net
Orange County FL private school elementary,6,organic,Florida Private Schools Directory - School Choice,"Information contained in this database was submitted by private schools as part of the annual survey requirement found in section 1002.42, Florida Statutes.Read more",https://www.floridaschoolchoice.org › information › pri...,https://www.floridaschoolchoice.org/information/privateschooldirectory/,floridaschoolchoice.org,,needs_location_or_type_verification:floridaschoolchoice.org
Orange County FL private school elementary,7,organic,Waldorf School Orange County | Creative and Innovative ...,"WSOC is a dual-accredited private school nestled beside acres of parkland in Costa Mesa, Orange County, California, educating ages 18 months through 18 years.Read more",https://www.waldorfschool.com,https://www.waldorfschool.com/,waldorfschool.com,,"out_of_area_title_signal:""orange county, ca"""
Orange County FL christian school elementary,5,organic,Trinity Christian School,"Founded with a mission to uphold the highest standards of academic excellence, TCS is equally dedicated to fostering spiritual growth in every student.Read more",https://www.tcsapopka.org,https://www.tcsapopka.org/,tcsapopka.org,,no_strong_signal:tcsapopka.org
Orange County FL charter school elementary,1,organic,Current List of Charter Schools,"Current List of Charter Schools ; Orlando Science Elementary Charter. (STEM Focus). K-5. 2611 Technology Dr. Orlando, FL 32804. 407-299-6595 ; Orlando Science ...Read more",https://www.ocps.net › current-list-of-charter-schools,https://www.ocps.net/current-list-of-charter-schools,ocps.net,,needs_location_or_type_verification:ocps.net
Orange County FL charter school elementary,3,organic,Charter Schools Home,"Schools are tuition-free public schools which operate under a performance contract or ""charter"" agreement between a governing board and the local public school ...Read more",https://www.ocps.net › charter-schools-home,https://www.ocps.net/charter-schools-home,ocps.net,,needs_location_or_type_verification:ocps.net
Orange County FL charter school elementary,8,organic,Princeton House Charter School,PHCS became a charter school in 1998 and is devoted to serving children with Autism in grades PK-5th. Our children represent the full spectrum of Autism.Read more,https://www.princeton-house.org,https://www.princeton-house.org/,princeton-house.org,,no_strong_signal:princeton-house.org
Orange County FL charter school elementary,10,organic,Orlando: Charter Schools,"Mater Narcoossee is a K-12 Tuition-Free Public Charter School in Orange County, Florida. ... charter elementary school owned and operated by ...Read more",https://fun4orlandokids.com › Education-Childcare › Ch...,https://fun4orlandokids.com/Education-Childcare/Charter-Schools/,fun4orlandokids.com,,aggregator_or_directory:fun4orlandokids.com
Orange County FL lower school,1,organic,Orange County Public Schools - Home,"""My experience at Orange County Public Schools has been amazing. The teachers and the education are absolutely wonderful."" Junior Student. ""Orange County Public ...Read more",https://www.ocps.net,https://www.ocps.net/,ocps.net,,needs_location_or_type_verification:ocps.net
Orange County FL lower school,3,organic,Orange County Public Schools - Schools Home,"To find the perfect school for your student, click on the “Find My School” icon below and easily search by school name, home address, or by zone. Quick Links ...Read more",https://www.ocps.net › schools,https://www.ocps.net/schools,ocps.net,,needs_location_or_type_verification:ocps.net
Orange County FL montessori elementary,8,organic,Montessori Schools | EdGuideCF,"MONTESSORI LEARNING – Search below from 14 Montessori schools ; COUNTY, Orange. CITY, Apopka. ZIP CODE, 32703. PHONE, 407-786-2255. MON-FRI HOURS, 7:15-6:00.Read more",https://www.edguidecf.com › copy-of-early-learning,https://www.edguidecf.com/copy-of-early-learning,edguidecf.com,,aggregator_or_directory:edguidecf.com
Orange County FL christian school elementary,15,organic,"Berean Christian Academy | Orange Park, FL Private School","Berean Christian Academy is a private Christian school in Orange Park, FL. Learn how we inspire, challenge, and nurture students from Pre-K ...",https://bccanes.org,https://bccanes.org/,bccanes.org,,out_of_area_domain:bccanes.org
Orange County FL christian school elementary,16,organic,San Clemente Christian School: TK–8 Private Christian School,San Clemente Christian School is a private TK–8 Christian school serving South Orange County with faith-based academics for over 40 years.,https://www.sanclementechristianschool.com,https://www.sanclementechristianschool.com/,sanclementechristianschool.com,,out_of_area_domain:sanclementechristianschool.com
Orange County FL private school elementary,11,organic,K-12 Private Schools,"Private elementary and secondary schools in Florida are not licensed, approved, accredited, or regulated by the Florida Department of Education.Read more",https://www.fldoe.org › schools › school-choice › priva...,https://www.fldoe.org/schools/school-choice/private-schools/,fldoe.org,,aggregator_or_directory:fldoe.org
